id,room_id/id,noted_date,temp,out/in,minute
__export__.temp_log_189051_abfba189,Room Admin,2018-12-06 12:36:00,41,Out,2018-12-06 12:36:00
__export__.temp_log_189025_b0fc562e,Room Admin,2018-12-06 12:26:00,41,Out,2018-12-06 12:26:00
__export__.temp_log_189026_5245b6d4,Room Admin,2018-12-06 12:26:00,41,Out,2018-12-06 12:26:00
__export__.temp_log_189009_7be941f0,Room Admin,2018-12-06 12:14:00,41,Out,2018-12-06 12:14:00
__export__.temp_log_189010_7d3da1ba,Room Admin,2018-12-06 12:14:00,41,Out,2018-12-06 12:14:00
__export__.temp_log_188967_db1d42fc,Room Admin,2018-12-06 12:00:00,41,Out,2018-12-06 12:00:00
__export__.temp_log_188968_cd4b38e2,Room Admin,2018-12-06 12:00:00,41,Out,2018-12-06 12:00:00
__export__.temp_log_188961_74e7b3df,Room Admin,2018-12-06 11:56:00,42,Out,2018-12-06 11:56:00
__export__.temp_log_188962_a7cffe0d,Room Admin,2018-12-06 11:56:00,42,Out,2018-12-06 11:56:00
__export__.temp_log_188954_3364ef39,Room Admin,2018-12-06 11:54:00,41,Out,2018-12-06 11:54:00
__export__.temp_log_188955_9fbc9673,Room Admin,2018-12-06 11:54:00,41,Out,2018-12-06 11:54:00
__export__.temp_log_188896_4fc51030,Room Admin,2018-12-06 11:36:00,42,Out,2018-12-06 11:36:00
__export__.temp_log_188895_8de0d962,Room Admin,2018-12-06 11:36:00,42,Out,2018-12-06 11:36:00
__export__.temp_log_188890_6843af3a,Room Admin,2018-12-06 11:34:00,41,Out,2018-12-06 11:34:00
__export__.temp_log_188889_753c0205,Room Admin,2018-12-06 11:34:00,41,Out,2018-12-06 11:34:00
__export__.temp_log_188841_2e534f55,Room Admin,2018-12-06 11:20:00,41,Out,2018-12-06 11:20:00
__export__.temp_log_188842_120a33dc,Room Admin,2018-12-06 11:20:00,41,Out,2018-12-06 11:20:00
__export__.temp_log_188809_20f59b8f,Room Admin,2018-12-06 11:10:00,42,Out,2018-12-06 11:10:00
__export__.temp_log_188807_9d63c014,Room Admin,2018-12-06 11:10:00,42,Out,2018-12-06 11:10:00
__export__.temp_log_188799_a5d18ef5,Room Admin,2018-12-06 11:08:00,41,Out,2018-12-06 11:08:00
__export__.temp_log_188796_57bf8717,Room Admin,2018-12-06 11:08:00,41,Out,2018-12-06 11:08:00
__export__.temp_log_188794_68da1c06,Room Admin,2018-12-06 11:07:00,42,Out,2018-12-06 11:07:00
__export__.temp_log_188791_67b996e1,Room Admin,2018-12-06 11:07:00,42,Out,2018-12-06 11:07:00
__export__.temp_log_188756_f78f25d5,Room Admin,2018-12-06 10:53:00,41,Out,2018-12-06 10:53:00
__export__.temp_log_188755_7eec2fa6,Room Admin,2018-12-06 10:53:00,41,Out,2018-12-06 10:53:00
__export__.temp_log_188659_f4bddaa0,Room Admin,2018-12-06 10:27:00,41,Out,2018-12-06 10:27:00
__export__.temp_log_188660_198ac258,Room Admin,2018-12-06 10:27:00,41,Out,2018-12-06 10:27:00
__export__.temp_log_188640_bb1ad8ce,Room Admin,2018-12-06 10:21:00,41,Out,2018-12-06 10:21:00
__export__.temp_log_188639_b35d55fe,Room Admin,2018-12-06 10:21:00,41,Out,2018-12-06 10:21:00
__export__.temp_log_188619_12091fe7,Room Admin,2018-12-06 10:17:00,41,Out,2018-12-06 10:17:00
__export__.temp_log_188621_fb9c06a5,Room Admin,2018-12-06 10:17:00,41,Out,2018-12-06 10:17:00
__export__.temp_log_188524_741be247,Room Admin,2018-12-06 09:58:00,42,Out,2018-12-06 09:58:00
__export__.temp_log_188525_ae522a3d,Room Admin,2018-12-06 09:58:00,42,Out,2018-12-06 09:58:00
__export__.temp_log_188512_a33215b5,Room Admin,2018-12-06 09:55:00,41,Out,2018-12-06 09:55:00
__export__.temp_log_188513_b20654ba,Room Admin,2018-12-06 09:55:00,41,Out,2018-12-06 09:55:00
__export__.temp_log_188506_c794ed8e,Room Admin,2018-12-06 09:55:00,42,Out,2018-12-06 09:55:00
__export__.temp_log_188507_d24aafb1,Room Admin,2018-12-06 09:55:00,42,Out,2018-12-06 09:55:00
__export__.temp_log_188490_5db93622,Room Admin,2018-12-06 09:53:00,41,Out,2018-12-06 09:53:00
__export__.temp_log_188489_b6a6671f,Room Admin,2018-12-06 09:53:00,41,Out,2018-12-06 09:53:00
__export__.temp_log_188487_a803696e,Room Admin,2018-12-06 09:49:00,42,Out,2018-12-06 09:49:00
__export__.temp_log_188463_f816cfb4,Room Admin,2018-12-06 09:49:00,42,Out,2018-12-06 09:49:00
__export__.temp_log_188456_c3256c5c,Room Admin,2018-12-06 09:47:00,41,Out,2018-12-06 09:47:00
__export__.temp_log_188455_5b45bbaf,Room Admin,2018-12-06 09:47:00,41,Out,2018-12-06 09:47:00
__export__.temp_log_188449_44cf0b47,Room Admin,2018-12-06 09:45:00,42,Out,2018-12-06 09:45:00
__export__.temp_log_188448_ef91e81c,Room Admin,2018-12-06 09:45:00,42,Out,2018-12-06 09:45:00
__export__.temp_log_188425_1920a6b0,Room Admin,2018-12-06 09:35:00,41,Out,2018-12-06 09:35:00
__export__.temp_log_188428_5ecbc6ef,Room Admin,2018-12-06 09:35:00,41,Out,2018-12-06 09:35:00
__export__.temp_log_188412_a6efc4a4,Room Admin,2018-12-06 09:31:00,42,Out,2018-12-06 09:31:00
__export__.temp_log_188411_6e48908f,Room Admin,2018-12-06 09:31:00,42,Out,2018-12-06 09:31:00
__export__.temp_log_188405_17807dca,Room Admin,2018-12-06 09:29:00,41,Out,2018-12-06 09:29:00
__export__.temp_log_188406_65956115,Room Admin,2018-12-06 09:29:00,41,Out,2018-12-06 09:29:00
__export__.temp_log_188394_4a07cb7a,Room Admin,2018-12-06 09:27:00,42,Out,2018-12-06 09:27:00
__export__.temp_log_188393_481f3cbf,Room Admin,2018-12-06 09:27:00,42,Out,2018-12-06 09:27:00
__export__.temp_log_188376_7ee0432a,Room Admin,2018-12-06 09:23:00,41,Out,2018-12-06 09:23:00
__export__.temp_log_188375_686234f5,Room Admin,2018-12-06 09:23:00,41,Out,2018-12-06 09:23:00
__export__.temp_log_188366_9299fd28,Room Admin,2018-12-06 09:21:00,42,Out,2018-12-06 09:21:00
__export__.temp_log_188365_c9c39830,Room Admin,2018-12-06 09:21:00,42,Out,2018-12-06 09:21:00
__export__.temp_log_188362_8fb0b26c,Room Admin,2018-12-06 09:19:00,41,Out,2018-12-06 09:19:00
__export__.temp_log_188361_d74568b2,Room Admin,2018-12-06 09:19:00,41,Out,2018-12-06 09:19:00
__export__.temp_log_188354_46c4a759,Room Admin,2018-12-06 09:17:00,42,Out,2018-12-06 09:17:00
__export__.temp_log_188356_5aa568b9,Room Admin,2018-12-06 09:17:00,42,Out,2018-12-06 09:17:00
__export__.temp_log_188342_f12c3f7a,Room Admin,2018-12-06 09:15:00,41,Out,2018-12-06 09:15:00
__export__.temp_log_188343_69ff1c87,Room Admin,2018-12-06 09:15:00,41,Out,2018-12-06 09:15:00
__export__.temp_log_188324_b42577ee,Room Admin,2018-12-06 09:11:00,42,Out,2018-12-06 09:11:00
__export__.temp_log_188323_7a38afa4,Room Admin,2018-12-06 09:11:00,42,Out,2018-12-06 09:11:00
__export__.temp_log_188311_3672c358,Room Admin,2018-12-06 09:07:00,41,Out,2018-12-06 09:07:00
__export__.temp_log_188312_c2252afc,Room Admin,2018-12-06 09:07:00,41,Out,2018-12-06 09:07:00
__export__.temp_log_188303_101e38aa,Room Admin,2018-12-06 09:05:00,42,Out,2018-12-06 09:05:00
__export__.temp_log_188304_08c0e6c9,Room Admin,2018-12-06 09:05:00,42,Out,2018-12-06 09:05:00
__export__.temp_log_188299_564e1760,Room Admin,2018-12-06 09:03:00,41,Out,2018-12-06 09:03:00
__export__.temp_log_188300_f18a4513,Room Admin,2018-12-06 09:03:00,41,Out,2018-12-06 09:03:00
__export__.temp_log_188294_970cd183,Room Admin,2018-12-06 09:01:00,42,Out,2018-12-06 09:01:00
__export__.temp_log_188293_af42b15e,Room Admin,2018-12-06 09:01:00,42,Out,2018-12-06 09:01:00
__export__.temp_log_188286_010ad95c,Room Admin,2018-12-06 08:59:00,41,Out,2018-12-06 08:59:00
__export__.temp_log_188288_ea18e266,Room Admin,2018-12-06 08:59:00,41,Out,2018-12-06 08:59:00
__export__.temp_log_188278_59e12ecd,Room Admin,2018-12-06 08:57:00,41,Out,2018-12-06 08:57:00
__export__.temp_log_188277_118f1d2f,Room Admin,2018-12-06 08:57:00,41,Out,2018-12-06 08:57:00
__export__.temp_log_188270_847ebe25,Room Admin,2018-12-06 08:55:00,41,Out,2018-12-06 08:55:00
__export__.temp_log_188269_82e62a1e,Room Admin,2018-12-06 08:55:00,41,Out,2018-12-06 08:55:00
__export__.temp_log_188266_ae3731fd,Room Admin,2018-12-06 08:53:00,42,Out,2018-12-06 08:53:00
__export__.temp_log_188265_f07aa409,Room Admin,2018-12-06 08:53:00,42,Out,2018-12-06 08:53:00
__export__.temp_log_188258_de568825,Room Admin,2018-12-06 08:51:00,41,Out,2018-12-06 08:51:00
__export__.temp_log_188257_7827dbe6,Room Admin,2018-12-06 08:51:00,41,Out,2018-12-06 08:51:00
__export__.temp_log_188252_3ec1baeb,Room Admin,2018-12-06 08:49:00,42,Out,2018-12-06 08:49:00
